city,house_title,house_type,price,owner_name,no_of_reviews,rating,url,no_of_guest,house_size,no_of_beds,no_of_baths,rooms,beds,bath
Purgatory Resort,New Luxury Condo Steps to Lifts - Amazing Views,Departamento entero,2973.0,Premier Vacation Rentals,5,4.5,https://www.airbnb.mx/rooms/16253022?location=Purgatory%20Resort&previous_page_section_name=1000,7.0, '2 recámaras', '4 camas', '2 baños',2.0,4.0,2.0
Purgatory Resort,Ski/In-Ski/Out @ Purgatory Ski Area TVC H-2,Condominio completo,3475.0,Chris,4,5.0,https://www.airbnb.mx/rooms/30017217?location=Purgatory%20Resort&previous_page_section_name=1000,4.0, '2 recámaras', '3 camas', '2 baños',2.0,3.0,2.0
Purgatory Resort,The Hillside Hideaway,Condominio completo,1351.0,Matt,106,5.0,https://www.airbnb.mx/rooms/9150304?location=Purgatory%20Resort&previous_page_section_name=1000,2.0, '1 recámara', '1 cama', '1 baño',1.0,1.0,1.0
Purgatory Resort,Great Condo Walk to Ski Lift PTH108,Condominio completo,1969.0,Vacation Accommodations,9,4.5,https://www.airbnb.mx/rooms/17432154?location=Purgatory%20Resort&previous_page_section_name=1000,3.0, 'estudio', '1 cama', '1 baño',0.5,1.0,1.0
Purgatory Resort,Affordable Studio Condo - Steps to Lift,Departamento entero,1100.0,Premier Vacation Rentals,1,,https://www.airbnb.mx/rooms/16253050?location=Purgatory%20Resort&previous_page_section_name=1000,4.0, 'estudio', '2 camas', '1 baño',0.5,2.0,1.0
Purgatory Resort,"Ski-in/out condo w/ shared pool, hot tubs, fitness room, private balcony, & view",Condominio completo,3127.0,Vacasa Colorado,1,,https://www.airbnb.mx/rooms/36277594?location=Purgatory%20Resort&previous_page_section_name=1000,6.0, '1 recámara', '3 camas', '1 baño',1.0,3.0,1.0
Purgatory Resort,Great condo on the slopes at affordable prices,Condominio completo,2606.0,Chris,21,5.0,https://www.airbnb.mx/rooms/16659153?location=Purgatory%20Resort&previous_page_section_name=1000,6.0, '2 recámaras', '4 camas', '2 baños',2.0,4.0,2.0
Purgatory Resort,Ski/In-Ski/Out @ Purgatory Ski Area TVC E-2,Condominio completo,3475.0,Chris,4,5.0,https://www.airbnb.mx/rooms/29801863?location=Purgatory%20Resort&previous_page_section_name=1000,6.0, '2 recámaras', '5 camas', '2 baños',2.0,5.0,2.0
Purgatory Resort,Ski/In-Ski/Out @ Purgatory Ski Area TVC A-3,Condominio completo,2896.0,Chris,8,5.0,https://www.airbnb.mx/rooms/29817708?location=Purgatory%20Resort&previous_page_section_name=1000,6.0, '1 recámara', '1 cama', '2 baños',1.0,1.0,2.0
Purgatory Resort,Beautiful Spacious Home next to Purgatory Resort,Casa entera,6737.0,Roxanne,10,5.0,https://www.airbnb.mx/rooms/24939212?location=Purgatory%20Resort&previous_page_section_name=1000,10.0, '5 recámaras', '5 camas', '3 baños completos y uno de tocador',5.0,5.0,3.0
Purgatory Resort,Corner Cliff Cottage - 1 Mile from Purg Ski Resort,Condominio completo,3089.0,Elizabeth,12,5.0,https://www.airbnb.mx/rooms/31382516?location=Purgatory%20Resort&previous_page_section_name=1000,4.0, '1 recámara', '1 cama', '1 baño',1.0,1.0,1.0
Purgatory Resort,Pet Friendly - Affordable Ski in/Ski Out Condo - New Furniture - Views & Deck,Departamento entero,2239.0,Premier Vacation Rentals,,,https://www.airbnb.mx/rooms/35192173?location=Purgatory%20Resort&previous_page_section_name=1000,8.0, '2 recámaras', '4 camas', '2 baños',2.0,4.0,2.0
Purgatory Resort,"Slope-side Purgatory escape with wood stove, shared hot tub, pool, & more!",Condominio completo,1506.0,Vacasa Colorado,5,5.0,https://www.airbnb.mx/rooms/16887658?location=Purgatory%20Resort&previous_page_section_name=1000,8.0, '2 recámaras', '4 camas', '2 baños',2.0,4.0,2.0
Purgatory Resort,Studio Condo at Purgatory Resort 03,Condominio completo,2336.0,Vacation Accommodations,7,5.0,https://www.airbnb.mx/rooms/15812726?location=Purgatory%20Resort&previous_page_section_name=1000,4.0, 'estudio', '3 camas', '1 baño',0.5,3.0,1.0
Purgatory Resort,Spectacular Mountain Condo With Views!,Condominio completo,1911.0,Krista,15,5.0,https://www.airbnb.mx/rooms/1696464?location=Purgatory%20Resort&previous_page_section_name=1000,4.0, '1 recámara', '2 camas', '1 baño',1.0,2.0,1.0
Purgatory Resort,A Little Piece of Heaven at Lake Purgatory!,Casa entera,4344.0,Durango Colorado,1,,https://www.airbnb.mx/rooms/36946933?location=Purgatory%20Resort&previous_page_section_name=1000,8.0, '3 recámaras', '4 camas', '3 baños',3.0,4.0,3.0
Purgatory Resort,Cozy mountain condo w/ views & shared hot tub - walk to the slopes!,Condominio completo,1988.0,Vacasa Colorado,4,3.5,https://www.airbnb.mx/rooms/19324425?location=Purgatory%20Resort&previous_page_section_name=1000,5.0, '2 recámaras', '4 camas', '2 baños',2.0,4.0,2.0
Purgatory Resort,NEW LISTING! Serene retreat w/mountain view & shared hot tub - near Purgatory,Condominio completo,2027.0,Vacasa Colorado,,,https://www.airbnb.mx/rooms/28605448?location=Purgatory%20Resort&previous_page_section_name=1000,4.0, '2 recámaras', '3 camas', '2 baños',2.0,3.0,2.0
Purgatory Resort,Studio Condo at Purgatory Resort Walk to Ski Lift PTH 114,Condominio completo,1969.0,Vacation Accommodations,16,4.0,https://www.airbnb.mx/rooms/19843971?location=Purgatory%20Resort&previous_page_section_name=1000,3.0, 'estudio', '1 cama', '1 baño',0.5,1.0,1.0
